shortcode,hashtags,likes,comments,timestamp
Bw44G0pAp39,3latcafe صبحانه مونجوق breakfast café کافه_سه_لت کافه,503,12,1556646654
ByAjxDnARcG,,986,14,1559051909
BxxPNhIg5-y,3latcafe نوشیدنی_ایرانی نوشیدنی کافه_سه_لت drink نوشیدنی_خنک colddrink کافه café,557,4,1558537816
BxKtDzCAXxO,ماه_رمضان iftar 3latcafe کافه ramadan رمضان کافه_سه_لت café افطاری بشقاب_افطار,823,18,1557244842
BxIbrhagdes,café 3latcafe ماه_رمضان iftar رمضان افطاری کافه ramadan کافه_سه_لت,659,6,1557168621
BwJovXEAdQT,وافل وافل_سیب_کاراملی caramelized_apple_waffles café waffles کافه 3latcafe کافه_سه_لت,615,5,1555061539
Bw_wl0QAPFB,cold_drink 3latcafe خنک café cold کافه بهار کافه_سه_لت نوشیدنی_سرد spring,631,5,1556877595
BwlxBuqAv7l,café smoothie اسموتی 3latcafe کافه_سه_لت کافه نوشیدنی_سرد,694,12,1556005408
BxaB6_ZgTuZ,3latcafe افطار پای_سیب_بستنی iftar پای_سیب کافه café applepie کافه_سه_لت ramadan رمضان دسر,443,3,1557759096
BwOvMHXg4c4,کافه_سه_لت 3latcafe ماست_و_گرانولا granola café کافه,769,13,1555232693
BwYolD6gXBj,کافه 3latcafe کافه_سه_لت پنینی_بوقلمون café پنینی panini turkey_panini,723,5,1555564771
BxkIPoxAG0m,کافه_سه_لت vegetarian کافه گیاهی café vegeterianfood toast 3latcafe میان_وعده تست_سیر_و_زیتون غذای_گیاهی,393,2,1558097955
